,,,,,"B-15  NON-WORKERS BY MAIN ACTIVITY, EDUCATIONAL LEVEL AND SEX",,,,,,,,,,,,,,,,,,,,,,,,
Table,State,District,Area,Total/,Educational,Non-workers,,,Main activity,,,,,,,,,,,,,,,,,,,,
Name,Code,Code,Name,Rural/,level,,,,Students,,,Household duties,,,Dependents,,,Pensioners,,,Rentiers,,,"Beggars, Vagrants etc.",,,Others,,
,,,,Urban,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0
B0515,24,469,District - Banas Kantha,Total,Literate,962123.0,442893.0,519230.0,643920.0,381534.0,262386.0,222949.0,6543.0,216406.0,61233.0,32685.0,28548.0,5722.0,4889.0,833.0,252.0,175.0,77.0,154.0,127.0,27.0,27893.0,16940.0,10953.0
B0515,24,469,District - Banas Kantha,Total,Literate but below matric/secondary,789612.0,355420.0,434192.0,547065.0,312427.0,234638.0,173469.0,5194.0,168275.0,50800.0,26778.0,24022.0,1882.0,1440.0,442.0,177.0,114.0,63.0,123.0,103.0,20.0,16096.0,9364.0,6732.0
B0515,24,469,District - Banas Kantha,Total,Matric/secondary but below graduate,124687.0,66803.0,57884.0,78792.0,56629.0,22163.0,32482.0,864.0,31618.0,4924.0,3094.0,1830.0,1838.0,1699.0,139.0,57.0,47.0,10.0,13.0,12.0,1.0,6581.0,4458.0,2123.0
B0515,24,469,District - Banas Kantha,Total,Technical diploma or certificate not equal to degree,7204.0,4785.0,2419.0,4279.0,3185.0,1094.0,733.0,33.0,700.0,177.0,130.0,47.0,943.0,791.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,1072.0,646.0,426.0
B0515,24,469,District - Banas Kantha,Total,Graduate and above other than technical degree,15751.0,6583.0,9168.0,6312.0,4301.0,2011.0,6054.0,101.0,5953.0,571.0,336.0,235.0,653.0,618.0,35.0,6.0,6.0,0.0,1.0,1.0,0.0,2154.0,1220.0,934.0
B0515,24,469,District - Banas Kantha,Total,Technical degree or diploma equal to degree or post-graduate degree,4549.0,2789.0,1760.0,2745.0,2091.0,654.0,770.0,16.0,754.0,129.0,76.0,53.0,241.0,215.0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,663.0,391.0,272.0
B0515,24,469,District - Banas Kantha,Rural,Total,1586055.0,669167.0,916888.0,640965.0,374567.0,266398.0,352661.0,8566.0,344095.0,557956.0,266984.0,290972.0,3720.0,2704.0,1016.0,283.0,141.0,142.0,687.0,457.0,230.0,29783.0,15748.0,14035.0
B0515,24,469,District - Banas Kantha,Rural,Illiterate,805651.0,295819.0,509832.0,93321.0,49445.0,43876.0,193337.0,3003.0,190334.0,509056.0,240189.0,268867.0,829.0,152.0,677.0,179.0,64.0,115.0,567.0,358.0,209.0,8362.0,2608.0,5754.0
B0515,24,469,District - Banas Kantha,Rural,Literate,780404.0,373348.0,407056.0,547644.0,325122.0,222522.0,159324.0,5563.0,153761.0,48900.0,26795.0,22105.0,2891.0,2552.0,339.0,104.0,77.0,27.0,120.0,99.0,21.0,21421.0,13140.0,8281.0
B0515,24,469,District - Banas Kantha,Rural,Literate but below matric/secondary,666285.0,307841.0,358444.0,476784.0,272119.0,204665.0,133246.0,4554.0,128692.0,41776.0,22599.0,19177.0,1125.0,893.0,232.0,73.0,49.0,24.0,101.0,84.0,17.0,13180.0,7543.0,5637.0
B0515,24,469,District - Banas Kantha,Rural,Matric/secondary but below graduate,83220.0,50707.0,32513.0,58334.0,43943.0,14391.0,16390.0,640.0,15750.0,2869.0,1959.0,910.0,861.0,823.0,38.0,22.0,20.0,2.0,8.0,8.0,0.0,4736.0,3314.0,1422.0
B0515,24,469,District - Banas Kantha,Rural,Technical diploma or certificate not equal to degree,5269.0,3796.0,1473.0,3350.0,2591.0,759.0,385.0,29.0,356.0,109.0,93.0,16.0,589.0,549.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,534.0,302.0
B0515,24,469,District - Banas Kantha,Rural,Graduate and above other than technical degree,7200.0,4010.0,3190.0,3751.0,2864.0,887.0,1859.0,44.0,1815.0,190.0,143.0,47.0,166.0,160.0,6.0,2.0,2.0,0.0,1.0,1.0,0.0,1231.0,796.0,435.0
B0515,24,469,District - Banas Kantha,Rural,Technical degree or diploma equal to degree or post-graduate degree,2139.0,1435.0,704.0,1352.0,1102.0,250.0,322.0,8.0,314.0,44.0,31.0,13.0,59.0,56.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,238.0,124.0
