State  Code	District Code	Sub District Code	India/ State/ Union Territory/ District/ Sub-district	Name	"Total/Rural/Urban"	Number of villages Inhabited	Uninhabited	Number of towns	Number of households	Population Persons	Males	Females	"Area(In sq. km)"	Population per sq. km.
28	552	05293	SUB-DISTRICT	Tuggali	Total	12	0	0	12,577	59,462	30,466	28,996	379.90	157
28	552	05293	SUB-DISTRICT	Tuggali	Rural	12	0	0	12,577	59,462	30,466	28,996	379.90	157
28	552	05293	SUB-DISTRICT	Tuggali	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05294	SUB-DISTRICT	Peapally	Total	18	1	0	16,607	73,692	37,613	36,079	548.48	134
28	552	05294	SUB-DISTRICT	Peapally	Rural	18	1	0	16,607	73,692	37,613	36,079	548.48	134
28	552	05294	SUB-DISTRICT	Peapally	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05295	SUB-DISTRICT	Owk	Total	18	0	1	12,440	50,452	25,381	25,071	493.02	102
28	552	05295	SUB-DISTRICT	Owk	Rural	18	0	0	10,820	43,838	21,961	21,877	485.18	90
28	552	05295	SUB-DISTRICT	Owk	Urban	0	0	1	1,620	6,614	3,420	3,194	7.84	844
28	552	05296	SUB-DISTRICT	Koilkuntla	Total	17	1	0	12,362	48,559	23,998	24,561	213.42	228
28	552	05296	SUB-DISTRICT	Koilkuntla	Rural	17	1	0	12,362	48,559	23,998	24,561	213.42	228
28	552	05296	SUB-DISTRICT	Koilkuntla	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05297	SUB-DISTRICT	Rudravaram	Total	19	0	0	11,619	49,003	24,703	24,300	583.97	84
28	552	05297	SUB-DISTRICT	Rudravaram	Rural	19	0	0	11,619	49,003	24,703	24,300	583.97	84
28	552	05297	SUB-DISTRICT	Rudravaram	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05298	SUB-DISTRICT	Allagadda	Total	20	0	0	19,458	79,126	39,669	39,457	329.96	240
28	552	05298	SUB-DISTRICT	Allagadda	Rural	20	0	0	19,458	79,126	39,669	39,457	329.96	240
28	552	05298	SUB-DISTRICT	Allagadda	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05299	SUB-DISTRICT	Dornipadu	Total	9	0	0	6,444	26,079	13,023	13,056	100.79	259
28	552	05299	SUB-DISTRICT	Dornipadu	Rural	9	0	0	6,444	26,079	13,023	13,056	100.79	259
28	552	05299	SUB-DISTRICT	Dornipadu	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05300	SUB-DISTRICT	Sanjamala	Total	20	1	0	9,352	37,537	18,904	18,633	298.23	126
28	552	05300	SUB-DISTRICT	Sanjamala	Rural	20	1	0	9,352	37,537	18,904	18,633	298.23	126
28	552	05300	SUB-DISTRICT	Sanjamala	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05301	SUB-DISTRICT	Kolimigundla	Total	20	0	1	12,940	53,601	27,155	26,446	333.24	161
28	552	05301	SUB-DISTRICT	Kolimigundla	Rural	20	0	0	9,944	41,228	20,855	20,373	309.44	133
28	552	05301	SUB-DISTRICT	Kolimigundla	Urban	0	0	1	2,996	12,373	6,300	6,073	23.80	520
28	552	05302	SUB-DISTRICT	Uyyalawada	Total	19	1	0	7,077	28,156	14,012	14,144	202.45	139
28	552	05302	SUB-DISTRICT	Uyyalawada	Rural	19	1	0	7,077	28,156	14,012	14,144	202.45	139
28	552	05302	SUB-DISTRICT	Uyyalawada	Urban	0	0	0	0	0	0	0	0.00	0
28	552	05303	SUB-DISTRICT	Chagalamarri	Total	19	0	0	12,210	51,132	25,791	25,341	373.01	137
28	552	05303	SUB-DISTRICT	Chagalamarri	Rural	19	0	0	12,210	51,132	25,791	25,341	373.01	137
28	552	05303	SUB-DISTRICT	Chagalamarri	Urban	0	0	0	0	0	0	0	0.00	0
28	553	00000	DISTRICT	Anantapur	Total	921	28	16	9,68,160	40,81,148	20,64,495	20,16,653	19130.00	213
28	553	00000	DISTRICT	Anantapur	Rural	921	28	0	7,00,366	29,35,437	14,89,157	14,46,280	18753.11	157
28	553	00000	DISTRICT	Anantapur	Urban	0	0	16	2,67,794	11,45,711	5,75,338	5,70,373	376.89	3,040
