DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,avg_lights_x_pct,avg_vis,censuscode,cf_cvg,stable_lights
Surguja,2,22,Chhattisgarh,1.268058793,4.601582854,401,59.14897083,1.267492914
Tamenglong,2,14,Manipur,0.411948275,4.249927883,273,64.90909289,0.411294196
Tapi,26,24,Gujarat,4.726647906,6.583088108,493,72.6413597,4.72989306
Tarn Taran,16,3,Punjab,16.63030398,16.63919305,50,70.21487829,16.63295514
Tawang,1,12,Arunanchal Pradesh,0.066228444,3.697568339,245,71.89345662,0.066678035
Tehri Garhwal,4,5,Uttarakhand,4.087842287,6.157411626,59,75.66251229,4.083703805
Thane,21,27,Maharashtra,12.4092169,13.51361958,517,75.8646057,12.4204444
Thanjavur,19,33,Tamil Nadu,11.38869911,11.42644265,620,65.33021268,11.40105273
The Dangs,22,24,Gujarat,0.41319376,4.19742749,489,71.61543719,0.413557832
The Nilgiris,10,33,Tamil Nadu,5.499347187,7.050900573,611,41.91188088,5.514122818
Theni,23,33,Tamil Nadu,6.506931902,7.513528535,624,45.83083976,6.525005819
Thiruvallur,1,33,Tamil Nadu,20.13990505,20.18082121,602,70.15704623,20.1453818
Thiruvananthapuram,14,32,Kerala,15.98526922,16.61105059,601,50.77708176,15.9928138
Thiruvarur,18,33,Tamil Nadu,8.715420619,8.928035915,619,67.86127,8.708615396
Thoothukkudi,26,33,Tamil Nadu,8.888412373,9.222759832,627,47.68617438,8.898991178
Thoubal,5,14,Manipur,3.104280555,5.921855514,276,64.51090483,3.10930114
Thrissur,7,32,Kerala,11.28065664,12.08013326,594,55.23007376,11.29077883
Tikamgarh,7,23,Madhya Pradesh,3.565894904,5.953282528,424,73.39895725,3.560887388
Tinsukia,10,18,Assam,7.732396268,9.638301515,309,66.20346919,7.737480592
Tirap,10,12,Arunanchal Pradesh,0.096429513,3.608692765,254,65.92961826,0.0976051
Tiruchirappalli,13,33,Tamil Nadu,11.07038494,11.15364833,614,57.74023543,11.07461171
Tirunelveli,27,33,Tamil Nadu,10.36502883,10.83458646,628,47.87696023,10.36951797
Tiruppur,32,33,Tamil Nadu,11.50644684,11.87092488,633,53.94295075,11.5122229
Tiruvannamalai,5,33,Tamil Nadu,8.014063826,8.385431748,606,58.52875777,8.019949227
Tonk,22,8,Rajasthan,2.923292721,5.683026259,120,76.15745513,2.915896935
Tuensang,7,13,Nagaland,0.07218836,3.602233712,267,65.51478087,0.072881437
Tumkur,17,29,Karnataka,7.2181974,7.647655425,571,59.43872278,7.221520393
Udaipur,32,8,Rajasthan,3.85607387,6.471656658,130,69.73670404,3.858469422
Udalguri,27,18,Assam,2.288709564,5.202992805,326,71.55704427,2.282215323
Udham Singh Nagar,12,5,Uttarakhand,14.63154195,15.24276585,67,74.16201231,14.63043156
Udhampur,19,1,Jammu & Kashmir,3.556674399,6.064279851,19,68.52475994,3.555046623
Udupi,15,29,Karnataka,5.471021719,6.815561473,569,68.47425266,5.475707347
Ujjain,18,23,Madhya Pradesh,3.479556958,7.99767443,435,72.76734886,3.480266835
Ukhrul,8,14,Manipur,0.062893355,4.610689073,279,62.61152419,0.062950105
Umaria,14,23,Madhya Pradesh,1.454614968,4.446708562,431,65.67880699,1.462773951
Una,7,2,Himachal Pradesh,10.02462292,10.5133258,29,69.17680296,10.0352471
Unnao,25,9,Uttar Pradesh,2.397771727,6.119251097,156,73.37032304,2.398144087
Upper Siang,8,12,Arunanchal Pradesh,0,3.570264879,252,60.26565024,0
Upper Subansiri,5,12,Arunanchal Pradesh,0.027778901,3.594803242,249,58.88474352,0.027415104
Uttar Bastar Kanker,14,22,Chhattisgarh,1.250531987,5.198614042,413,64.61994503,1.247688564
Uttar Dinajpur,4,19,West Bengal,8.07104933,8.245806244,330,70.19032661,8.069666599
Uttara Kannada,9,29,Karnataka,2.375401117,5.094037933,563,71.31995823,2.378819365
Uttarkashi,1,5,Uttarakhand,0.301585571,3.85004109,56,75.36657255,0.301505204
Vadodara,19,24,Gujarat,7.937751224,9.743478151,486,70.09820295,7.937996477
Vaishali,18,10,Bihar,4.980581951,6.898362374,220,68.17408706,4.969497838
Valsad,24,24,Gujarat,9.4507385,10.71878225,491,76.59677585,9.459114424
Varanasi,66,9,Uttar Pradesh,12.59912715,13.88711605,197,65.64000619,12.59742219
Vellore,4,33,Tamil Nadu,10.59847781,11.03886507,605,58.0163506,10.59980621
Vidisha,26,23,Madhya Pradesh,1.405565465,5.312102671,443,73.30414412,1.406279822
Viluppuram,6,33,Tamil Nadu,9.994797871,10.15834713,607,59.1004211,9.99508083
Virudunagar,24,33,Tamil Nadu,8.539106177,8.901868891,625,46.50869057,8.55104682
Visakhapatnam,13,28,Andhra Pradesh,6.002792573,8.34219478,544,71.63259354,6.008030063
Vizianagaram,12,28,Andhra Pradesh,5.118732255,6.432867753,543,68.27469403,5.120325553
Warangal,9,28,Andhra Pradesh,7.191880318,8.315420949,540,70.91925239,7.189518026
Wardha,8,27,Maharashtra,5.176722805,6.48975718,504,67.95304951,5.186104773
Washim,6,27,Maharashtra,4.328373241,5.646865373,502,65.88467856,4.336468193
Wayanad,3,32,Kerala,4.680102586,5.981022906,590,53.0855573,4.688503329
West,7,7,NCT of Delhi,62.4520505,62.56508497,96,71.94097029,62.56508497
West,2,11,Sikkim,1.610306402,4.394116827,242,69.73644919,1.603382289
West Garo Hills,1,17,Meghalaya,0.430421384,4.619820949,293,65.84303538,0.43270473
West Godavari,15,28,Andhra Pradesh,8.356044309,8.832179713,546,73.3577161,8.357989331
West Kameng,2,12,Arunanchal Pradesh,0.152409376,3.819094437,246,71.2333709,0.151512968
West Khasi Hills,4,17,Meghalaya,0.454960394,4.925228673,296,64.52391444,0.45442927
West Nimar,23,23,Madhya Pradesh,1.341445648,5.265519435,440,72.48061441,1.343600035
West Siang,6,12,Arunanchal Pradesh,0.040379637,3.529845797,250,58.91878859,0.040362646
West Tripura,1,16,Tripura,9.14189033,10.35725267,289,63.37553011,9.147335407
Wokha,4,13,Nagaland,0.373903887,4.059690778,264,68.28117122,0.37454252
Y.s.r.,20,28,Andhra Pradesh,4.930609723,6.663769243,551,64.52140697,4.938553855
